instance_encoder_num_hidden_layers,instance_decoder_num_hidden_layers,configuration_encoder_num_hidden_layers,activation,num_hidden_units,epoch,feature_loss,loss,parameter_loss,performance_loss,val_feature_loss,val_loss,val_parameter_loss,val_performance_loss
1,1,3,tanh,64,8,0.39522725343704224,0.8790023922920227,1.0056602954864502,0.04837796092033386,0.4028283357620239,0.917736291885376,1.0058568716049194,0.05151846632361412
1,1,3,tanh,64,9,0.38950613141059875,0.8689075112342834,1.0056662559509277,0.04793967306613922,0.3968203067779541,0.906510591506958,1.0058008432388306,0.05100575461983681
1,1,3,tanh,64,10,0.3853514492511749,0.8615707755088806,1.0056546926498413,0.04762119799852371,0.3924869894981384,0.8983376622200012,1.0056395530700684,0.0506274551153183
1,0,3,tanh,32,1,0.7500567436218262,1.369704246520996,0.9923295378684998,0.06196508929133415,0.6664168238639832,1.2730518579483032,0.9929382801055908,0.06060251593589783
1,0,3,tanh,32,2,0.6412663459777832,1.206817865371704,0.9928261041641235,0.05655965954065323,0.6147221922874451,1.2164889574050903,0.9931923747062683,0.060096584260463715
1,0,3,tanh,32,3,0.5937450528144836,1.1599019765853882,0.99286288022995,0.05662223696708679,0.5608773231506348,1.1724460124969482,0.9931588768959045,0.06106515973806381
1,0,3,tanh,32,4,0.5246520638465881,1.100329041481018,0.9906243085861206,0.05757598206400871,0.4929036796092987,1.0993210077285767,0.9876709580421448,0.06059795245528221
1,0,3,tanh,32,5,0.46764522790908813,1.0250506401062012,0.9857984185218811,0.05574698746204376,0.463639497756958,1.0389199256896973,0.9881951808929443,0.057540163397789
1,0,3,tanh,32,6,0.4545782804489136,0.9761390089988708,0.9863598942756653,0.05215950682759285,0.46243828535079956,1.0053201913833618,0.9879862070083618,0.0543166883289814
1,0,3,tanh,32,7,0.4519331157207489,0.9551500082015991,0.9861255288124084,0.05032530799508095,0.46058326959609985,0.9928132891654968,0.9877826571464539,0.05325392633676529
1,0,3,tanh,32,8,0.45076143741607666,0.9444657564163208,0.9861205816268921,0.049373917281627655,0.4598694145679474,0.9853301048278809,0.9877486228942871,0.0525757297873497
1,0,3,tanh,32,9,0.45020994544029236,0.9370580315589905,0.9861611127853394,0.04868827015161514,0.45955395698547363,0.9798609614372253,0.9877871870994568,0.05205666646361351
1,0,3,tanh,32,10,0.4498971700668335,0.9312458634376526,0.9861986041069031,0.04813836142420769,0.4593864381313324,0.9752763509750366,0.9878575801849365,0.051610104739665985
2,2,0,leaky_relu,16,1,0.5481969714164734,1.3518667221069336,1.0064653158187866,0.08036299794912338,0.4127064645290375,1.0360697507858276,1.0027669668197632,0.06242543086409569
2,2,0,leaky_relu,16,2,0.38503286242485046,0.9675644636154175,1.0022705793380737,0.0582696907222271,0.3820207715034485,0.9837558269500732,1.0022298097610474,0.060240037739276886
2,2,0,leaky_relu,16,3,0.36348673701286316,0.9262089133262634,0.9996408224105835,0.05628890171647072,0.3631818890571594,0.9412698745727539,0.9980951547622681,0.05784349516034126
2,2,0,leaky_relu,16,4,0.34966224431991577,0.8882343173027039,0.9954354763031006,0.05387311801314354,0.35399460792541504,0.9073323011398315,0.9947628378868103,0.055338650941848755
2,2,0,leaky_relu,16,5,0.34203898906707764,0.8609784245491028,0.9940728545188904,0.051907978951931,0.3476598560810089,0.8899325728416443,0.9953533411026001,0.05423198640346527
2,2,0,leaky_relu,16,6,0.3333719074726105,0.8472931385040283,0.9943280816078186,0.05140580236911774,0.3379673659801483,0.8770068287849426,0.9954334497451782,0.0539141520857811
2,2,0,leaky_relu,16,7,0.3240894079208374,0.8342128992080688,0.9944263100624084,0.05102667212486267,0.32942458987236023,0.8666580319404602,0.9955499768257141,0.053739067167043686
2,2,0,leaky_relu,16,8,0.31419479846954346,0.8221471905708313,0.994591236114502,0.05080944299697876,0.32226723432540894,0.857491672039032,0.9957571625709534,0.053544510155916214
2,2,0,leaky_relu,16,9,0.30492740869522095,0.8104730844497681,0.9948403239250183,0.050569161772727966,0.31065377593040466,0.8444086313247681,0.9960781335830688,0.05339900776743889
2,2,0,leaky_relu,16,10,0.2976268529891968,0.8018463850021362,0.9951231479644775,0.050436899065971375,0.3048485219478607,0.8382589221000671,0.9963696599006653,0.053370337933301926
0,0,1,tanh,64,1,0.9689474701881409,1.8521697521209717,0.9983792304992676,0.08829769492149353,0.7653723359107971,1.4185597896575928,1.0012388229370117,0.06532400101423264
0,0,1,tanh,64,2,0.6594020128250122,1.2811353206634521,0.999223530292511,0.06217261403799057,0.5890718102455139,1.2178138494491577,1.0012305974960327,0.0628843605518341
0,0,1,tanh,64,3,0.5235241651535034,1.1389834880828857,0.9992542862892151,0.0615517720580101,0.5034458637237549,1.1335066556930542,1.0008606910705566,0.06303519755601883
0,0,1,tanh,64,4,0.47039371728897095,1.0706243515014648,0.9998553991317749,0.06003310903906822,0.4720151424407959,1.0907076597213745,1.0019723176956177,0.06190628558397293
0,0,1,tanh,64,5,0.445173054933548,1.0311750173568726,1.0007520914077759,0.058612607419490814,0.4510570168495178,1.061341404914856,1.002727746963501,0.06106707081198692
0,0,1,tanh,64,6,0.42755261063575745,1.0046733617782593,1.001460075378418,0.05772603675723076,0.433590829372406,1.0384271144866943,1.0035808086395264,0.060518037527799606
0,0,1,tanh,64,7,0.41464585065841675,0.9853962063789368,1.0023610591888428,0.05709032341837883,0.42062073945999146,1.020891785621643,1.0048677921295166,0.06005454063415527
0,0,1,tanh,64,8,0.40681159496307373,0.9720059633255005,1.003398060798645,0.05653556436300278,0.41394490003585815,1.009407639503479,1.0056099891662598,0.05956700071692467
0,0,1,tanh,64,9,0.4031023383140564,0.9636660218238831,1.0041749477386475,0.05607267841696739,0.4109313189983368,1.0024969577789307,1.0059137344360352,0.05917174369096756
0,0,1,tanh,64,10,0.4013076722621918,0.9585120677947998,1.0045801401138306,0.055736709386110306,0.40935009717941284,0.9979830980300903,1.0060186386108398,0.05887346714735031
3,0,0,tanh,16,1,0.8051863312721252,1.4900753498077393,1.0089529752731323,0.06848078966140747,0.6755808591842651,1.2720154523849487,1.0079643726348877,0.05954047292470932
3,0,0,tanh,16,2,0.6216995120048523,1.1906741857528687,1.0064795017242432,0.05690065771341324,0.5749704241752625,1.1721502542495728,1.0068496465682983,0.059644218534231186
3,0,0,tanh,16,3,0.5151175260543823,1.088739275932312,1.006029486656189,0.05736134946346283,0.5002045631408691,1.0774857997894287,1.0064709186553955,0.057690247893333435
3,0,0,tanh,16,4,0.4864175617694855,1.0240917205810547,1.0042681694030762,0.053765926510095596,0.4952155649662018,1.025823950767517,1.0041414499282837,0.05298982188105583
3,0,0,tanh,16,5,0.4853607416152954,0.9819648861885071,1.0023298263549805,0.04966342821717262,0.49797239899635315,0.9981756806373596,1.003414511680603,0.049941156059503555
3,0,0,tanh,16,6,0.4837677776813507,0.9639474153518677,1.0018491744995117,0.048021942377090454,0.495927095413208,0.9889962673187256,1.0029511451721191,0.04923586547374725
3,0,0,tanh,16,7,0.4808906614780426,0.9549816250801086,1.0015594959259033,0.047413263469934464,0.49163469672203064,0.9836437106132507,1.0026742219924927,0.04913974553346634
3,0,0,tanh,16,8,0.4776865541934967,0.9478464126586914,1.001442313194275,0.04702030122280121,0.4861597418785095,0.9763833284378052,1.002608299255371,0.04896625131368637
3,0,0,tanh,16,9,0.4762613773345947,0.9420866370201111,1.0014451742172241,0.0465867854654789,0.4841780364513397,0.9718352556228638,1.0025895833969116,0.04871005192399025
3,0,0,tanh,16,10,0.47586068511009216,0.9380349516868591,1.0014562606811523,0.04622173681855202,0.4830424189567566,0.9685600399971008,1.002572774887085,0.04849482327699661
0,3,3,leaky_relu,32,1,0.49450045824050903,1.3496942520141602,0.9982886910438538,0.08549926429986954,0.4047544300556183,0.9879000782966614,0.9994323253631592,0.05827513337135315
